,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
163,03-19-2020,Sherman Oaks,34.1508718,-118.4489865,0.13725897211185042,1
164,03-19-2020,South El Monte,34.0519548,-118.04673390000002,0.0,0
165,03-19-2020,Stevenson Ranch,34.3864721,-118.5826635,0.0,0
166,03-19-2020,Studio City,34.148398900000004,-118.39618770000001,0.0,0
167,03-19-2020,Sylmar,34.307625200000004,-118.44921480000001,0.0,0
168,03-19-2020,Tarzana,34.171443599999996,-118.54297890000001,0.0,0
169,03-19-2020,Torrance,33.83584920000001,-118.34062879999999,0.06595283286081383,0
170,03-19-2020,Tujunga,34.252225,-118.2884105,0.13666546106812244,1
171,03-19-2020,University Park,34.027449,-118.2839493,0.15984141609450603,1
172,03-19-2020,Valley Glen,34.182637899999996,-118.41386659999999,0.2634316873836163,1
173,03-19-2020,Van Nuys,34.1866193,-118.4486669,0.5647545996120055,1
174,03-19-2020,Venice,33.995044,-118.4668875,0.40165373989144965,1
175,03-19-2020,Vermont Knolls,33.9668188,-118.29167,0.0,0
176,03-19-2020,Walnut,34.020289399999996,-117.86533859999999,0.0,0
177,03-19-2020,West Adams,34.0294356,-118.35248329999999,0.0,0
178,03-19-2020,West Hills,34.2032325,-118.645476,0.0,0
179,03-19-2020,West Hollywood,34.0923014,-118.36928940000001,0.7316101389695271,1
180,03-19-2020,West Los Angeles,34.0463986,-118.44813500000001,0.0,0
181,03-19-2020,West Vernon,34.007135,-118.22525,0.14559986181949658,1
182,03-19-2020,Westchester,33.9597349,-118.40063219999999,0.0,0
183,03-19-2020,Westwood,34.05612070000001,-118.43063470000001,0.8746679004340937,1
184,03-19-2020,Whittier,33.9708782,-118.0308396,0.33214195866068286,1
185,03-19-2020,Woodland Hills,34.1684364,-118.6058382,0.3447188235337717,1
186,03-20-2020,Alhambra,34.093042,-118.12706000000001,0.21976508770536546,1
187,03-20-2020,Altadena,34.1863161,-118.13523290000002,0.8022929982266597,1
188,03-20-2020,Arcadia,34.136207500000005,-118.0401497,0.0,0
189,03-20-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.21097725538320358,1
190,03-20-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
191,03-20-2020,Beverlywood,34.045933399999996,-118.39492,0.9653655250495953,1
192,03-20-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0,0
193,03-20-2020,Brentwood,34.0521403,-118.4740699,0.0,0
194,03-20-2020,Burbank,34.181648200000005,-118.3258554,0.31029393886154233,1
195,03-20-2020,Calabasas,34.144664299999995,-118.6440973,0.0,0
196,03-20-2020,Carson,33.832204299999994,-118.2517547,0.4886133950094253,1
197,03-20-2020,Castaic,34.488882200000006,-118.6228656,0.11104914406735217,1
198,03-20-2020,Century City,34.057426299999996,-118.4147267,0.8046373109172389,1
199,03-20-2020,Century Palms/Cove,34.062844,-118.41581299999999,0.22601762060729555,1
200,03-20-2020,Covina,34.1024,-117.85486499999999,0.28383290188360677,1
201,03-20-2020,Crestview,34.0621851,-118.4250119,0.941917682067306,1
202,03-20-2020,Culver City,34.021122399999996,-118.3964665,0.0,0
203,03-20-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.0,0
204,03-20-2020,Eagle Rock,34.1366877,-118.20767959999999,0.037267116919751764,0
205,03-20-2020,East Los Angeles,34.0239015,-118.17201570000002,0.3612220923914597,1
206,03-20-2020,Echo Park,34.0779819,-118.2567824,0.0,0
207,03-20-2020,El Segundo,33.917028,-118.4156337,0.0,0
208,03-20-2020,Encino,34.1591324,-118.50161659999999,1.5929808932947116,2
209,03-20-2020,Gardena,33.8963593,-118.3053037,0.0,0
210,03-20-2020,Glendale,34.146941600000005,-118.24784709999999,0.5608244318009403,1
211,03-20-2020,Granada Hills,34.26615579999999,-118.5174342,0.0,0
212,03-20-2020,Hancock Park,34.0677881,-118.33257649999999,0.7341574354109874,1
213,03-20-2020,Hawthorne,33.9188589,-118.34832560000001,0.0,0
214,03-20-2020,Hollywood,34.0980031,-118.32952320000001,1.5398365373141183,2
215,03-20-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.6607184520684801,1
216,03-20-2020,Inglewood,33.9562003,-118.353132,0.37436558408340154,1
217,03-20-2020,La Mirada,33.906097100000004,-118.0107092,0.0,0
218,03-20-2020,Lake Balboa,34.1811656,-118.495236,0.3394204382786586,1
219,03-20-2020,Lakewood,33.8503463,-118.11719140000001,0.0,0
220,03-20-2020,Lancaster,34.6981064,-118.13661529999999,0.0,0
221,03-20-2020,Lawndale,33.8885217,-118.3531991,0.0,0
222,03-20-2020,Lomita,33.8036545,-118.3195014,0.0,0
223,03-20-2020,Lynwood,33.924831,-118.2024154,0.1458969795831929,1
224,03-20-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.3758121437153767,1
225,03-20-2020,Mar Vista,34.0037605,-118.43916409999999,0.48310685094903183,1
226,03-20-2020,Melrose,34.0536909,-118.2427666,2.1255034649954863,3
227,03-20-2020,Miracle Mile,34.008544,-118.13341499999999,1.0707069550898336,2
